2025-10-30 21:20:09,354 - \u2705 Success | Error 0.0846 | Source API (Live)
2026-01-29 22:04:40,481 - \u2705 Success | Error 0.0651 | Source Simulated Data
2026-01-29 22:04:50,404 - \u2705 Success | Error 0.049 | Source Simulated Data
2026-01-29 22:04:58,286 - \u2705 Success | Error 0.0525 | Source Simulated Data
2026-01-29 22:05:08,052 - \u2705 Success | Error 0.0311 | Source Simulated Data
2026-01-29 22:05:17,905 - \u2705 Success | Error 0.0592 | Source Simulated Data
2026-01-29 22:05:28,423 - \u2705 Success | Error 0.0415 | Source Simulated Data
2026-01-29 22:05:37,969 - \u2705 Success | Error 0.0145 | Source Simulated Data
2026-01-29 22:05:48,001 - \u2705 Success | Error 0.0293 | Source Simulated Data
2026-01-29 22:05:57,944 - \u2705 Success | Error 0.0202 | Source Simulated Data
2026-01-29 22:06:08,016 - \u2705 Success | Error 0.0223 | Source Simulated Data
2026-01-29 22:06:17,979 - \u2705 Success | Error 0.0682 | Source Simulated Data
2026-01-29 22:06:27,929 - \u2705 Success | Error 0.0545 | Source Simulated Data
2026-01-29 22:06:38,013 - \u2705 Success | Error 0.0505 | Source Simulated Data
2026-01-29 22:06:48,463 - \u2705 Success | Error 0.0366 | Source Simulated Data
2026-01-29 22:06:58,205 - \u2705 Success | Error 0.0411 | Source Simulated Data
2026-01-29 22:07:08,154 - \u2705 Success | Error 0.0253 | Source Simulated Data
2026-01-29 22:07:18,430 - \u2705 Success | Error 0.0406 | Source Simulated Data
2026-01-29 22:07:28,190 - \u2705 Success | Error 0.0578 | Source Simulated Data
2026-01-29 22:07:38,062 - \u2705 Success | Error 0.0431 | Source Simulated Data
2026-01-29 22:07:48,064 - \u2705 Success | Error 0.0807 | Source Simulated Data
2026-01-29 22:07:58,122 - \u2705 Success | Error 0.0219 | Source Simulated Data
2026-01-29 22:08:08,091 - \u2705 Success | Error 0.053 | Source Simulated Data
2026-01-29 22:08:18,384 - \u2705 Success | Error 0.0834 | Source Simulated Data
2026-01-29 22:08:28,671 - \u2705 Success | Error 0.0211 | Source Simulated Data
2026-01-29 22:08:38,338 - \u2705 Success | Error 0.0201 | Source Simulated Data
2026-01-29 22:08:48,099 - \u2705 Success | Error 0.0341 | Source Simulated Data
2026-01-29 22:08:58,796 - \u2705 Success | Error 0.0305 | Source Simulated Data
2026-01-29 22:09:08,268 - \u2705 Success | Error 0.0452 | Source Simulated Data
2026-01-29 22:09:19,876 - \u2705 Success | Error 0.0359 | Source Simulated Data
2026-01-29 22:09:28,188 - \u2705 Success | Error 0.0308 | Source Simulated Data
2026-01-29 22:09:38,668 - \u2705 Success | Error 0.045 | Source Simulated Data
2026-01-29 22:09:49,138 - \u2705 Success | Error 0.0732 | Source Simulated Data
2026-01-29 22:09:58,259 - \u2705 Success | Error 0.0151 | Source Simulated Data
2026-01-29 22:10:08,397 - \u2705 Success | Error 0.0153 | Source Simulated Data
2026-01-29 22:10:18,249 - \u2705 Success | Error 0.0025 | Source Simulated Data
2026-01-29 22:10:29,253 - \u2705 Success | Error 0.0667 | Source Simulated Data
